segment_id,char_range,original_id
1a954c8a-a8b7-44da-99f2-2cc5f5f1bc1a,"[1,64)",1
e217e881-422a-4b0d-a5b8-a9d636138bf9,"[64,100)",2
e6a6a861-3762-464c-b0da-7c3b27f38c6b,"[100,175)",3
61e09b1e-a7e7-4694-b8a7-5f636763f6d1,"[175,372)",4
c5f2e977-2b77-49c2-9c8f-30bb7e48c444,"[372,473)",5
cf195552-4d8d-4444-a8d5-c0f76aa0dc0c,"[473,563)",6
6b688a3c-fb8a-4b23-9a04-4bb0c5731244,"[563,662)",7
5b089a61-f7fd-45b3-b53b-32fd9ff661df,"[662,687)",8
91fef1e2-1bb5-441a-8913-37649797d663,"[687,712)",9
2426d59c-406d-47d0-ac9c-9d18fae0b5d0,"[712,736)",10
0e2e3043-2b88-4853-8f83-172bd1bc9cb7,"[736,790)",11
9e894801-e71a-4841-9f3a-9a3041c42e41,"[790,860)",12
0440d64d-f5c5-4d15-9c81-28b5df2c09b2,"[860,977)",13
2d5f5b35-41a4-481d-bdf9-671af793915d,"[977,1162)",14
e110c9b5-71eb-48e2-95ed-a66945fbf93c,"[1162,1273)",15
de59ef9c-fd56-4467-ab1d-c677bb2e5ff6,"[1273,1390)",16
e3a090c0-c789-4e4f-9fa6-93d3068c456e,"[1390,1430)",17
e7560b58-f8f3-47b1-ae6c-db932860a1f7,"[1430,1530)",18
f72fbafa-e1c8-4588-8413-adf11f6a2b49,"[1530,1542)",19
b9277a23-8ba2-4e1b-a0d5-3581f0e1ecf1,"[1542,1659)",20
ef7d06a6-148c-4699-a483-205a1fcbeb1e,"[1659,1726)",21
c5d3a3b9-5264-40ef-861b-0b274902e6da,"[1726,1759)",22
14c95295-03e1-4b34-996d-9e3bab20d1cd,"[1759,1830)",23
71885b0d-16ad-4fc2-a476-660e7bed988d,"[1830,1891)",24
d78a3c4c-4002-4d17-9353-c71ae03ad26b,"[1891,1928)",25
337d877c-af4f-4e8e-ae92-d6e57a4845ab,"[1928,1985)",26
7158ea40-39c5-4f17-bdcb-54648e32b6a3,"[1985,1991)",27
7632d720-35a3-4b0f-af29-0e6185a8380d,"[1991,2080)",28
1170ae00-5256-43dd-96ab-179d8cb6c764,"[2080,2126)",29
aa0da043-37b0-4c65-8620-d9a375681704,"[2126,2181)",30
5c63e868-b967-489a-9b6b-142bae0a5933,"[2181,2262)",31
30b30371-31d4-4357-8f68-740f295fd75b,"[2262,2321)",32
c7a32545-5257-483e-9410-b819be38f389,"[2321,2375)",33
af340c74-e3d0-4e30-bd19-1b495d9eebfc,"[2375,2419)",34
