token_id,form_id,lemma_id,shortened,char_range,segment_id
1,1,1,no,"[1,3)",1a954c8a-a8b7-44da-99f2-2cc5f5f1bc1a
2,2,2,no,"[3,10)",1a954c8a-a8b7-44da-99f2-2cc5f5f1bc1a
3,3,3,yes,"[10,11)",1a954c8a-a8b7-44da-99f2-2cc5f5f1bc1a
4,4,4,no,"[11,13)",1a954c8a-a8b7-44da-99f2-2cc5f5f1bc1a
5,5,5,no,"[13,17)",1a954c8a-a8b7-44da-99f2-2cc5f5f1bc1a
6,6,6,no,"[17,28)",1a954c8a-a8b7-44da-99f2-2cc5f5f1bc1a
7,7,7,no,"[28,30)",1a954c8a-a8b7-44da-99f2-2cc5f5f1bc1a
8,8,8,no,"[30,35)",1a954c8a-a8b7-44da-99f2-2cc5f5f1bc1a
9,9,9,no,"[35,38)",1a954c8a-a8b7-44da-99f2-2cc5f5f1bc1a
10,10,10,no,"[38,44)",1a954c8a-a8b7-44da-99f2-2cc5f5f1bc1a
11,11,11,no,"[44,49)",1a954c8a-a8b7-44da-99f2-2cc5f5f1bc1a
12,12,12,no,"[49,51)",1a954c8a-a8b7-44da-99f2-2cc5f5f1bc1a
13,13,13,no,"[51,52)",1a954c8a-a8b7-44da-99f2-2cc5f5f1bc1a
14,14,14,no,"[52,58)",1a954c8a-a8b7-44da-99f2-2cc5f5f1bc1a
15,15,15,no,"[58,64)",1a954c8a-a8b7-44da-99f2-2cc5f5f1bc1a
16,16,16,no,"[64,67)",e217e881-422a-4b0d-a5b8-a9d636138bf9
17,17,17,no,"[67,74)",e217e881-422a-4b0d-a5b8-a9d636138bf9
18,18,18,no,"[74,78)",e217e881-422a-4b0d-a5b8-a9d636138bf9
19,19,19,no,"[78,94)",e217e881-422a-4b0d-a5b8-a9d636138bf9
20,20,20,no,"[94,96)",e217e881-422a-4b0d-a5b8-a9d636138bf9
21,21,21,no,"[96,99)",e217e881-422a-4b0d-a5b8-a9d636138bf9
22,3,3,yes,"[99,100)",e217e881-422a-4b0d-a5b8-a9d636138bf9
23,22,22,no,"[100,105)",e6a6a861-3762-464c-b0da-7c3b27f38c6b
24,23,23,no,"[105,108)",e6a6a861-3762-464c-b0da-7c3b27f38c6b
25,7,7,no,"[108,110)",e6a6a861-3762-464c-b0da-7c3b27f38c6b
26,24,24,no,"[110,117)",e6a6a861-3762-464c-b0da-7c3b27f38c6b
27,25,25,no,"[117,121)",e6a6a861-3762-464c-b0da-7c3b27f38c6b
28,26,26,no,"[121,124)",e6a6a861-3762-464c-b0da-7c3b27f38c6b
29,27,27,no,"[124,128)",e6a6a861-3762-464c-b0da-7c3b27f38c6b
30,28,28,no,"[128,132)",e6a6a861-3762-464c-b0da-7c3b27f38c6b
31,29,29,no,"[132,137)",e6a6a861-3762-464c-b0da-7c3b27f38c6b
32,30,30,no,"[137,140)",e6a6a861-3762-464c-b0da-7c3b27f38c6b
33,18,18,no,"[140,144)",e6a6a861-3762-464c-b0da-7c3b27f38c6b
34,31,31,no,"[144,148)",e6a6a861-3762-464c-b0da-7c3b27f38c6b
35,32,32,no,"[148,152)",e6a6a861-3762-464c-b0da-7c3b27f38c6b
36,10,10,no,"[152,158)",e6a6a861-3762-464c-b0da-7c3b27f38c6b
37,33,33,no,"[158,164)",e6a6a861-3762-464c-b0da-7c3b27f38c6b
38,34,34,no,"[164,166)",e6a6a861-3762-464c-b0da-7c3b27f38c6b
39,28,28,no,"[166,170)",e6a6a861-3762-464c-b0da-7c3b27f38c6b
40,35,35,no,"[170,175)",e6a6a861-3762-464c-b0da-7c3b27f38c6b
41,36,36,no,"[175,180)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
42,14,14,no,"[180,186)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
43,37,37,no,"[186,197)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
44,38,38,no,"[197,201)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
45,7,7,no,"[201,203)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
46,39,39,no,"[203,209)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
47,13,13,no,"[209,210)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
48,40,40,no,"[210,215)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
49,41,41,no,"[215,221)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
50,34,34,no,"[221,223)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
51,42,42,no,"[223,228)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
52,29,29,no,"[228,233)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
53,26,26,no,"[233,236)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
54,43,43,no,"[236,244)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
55,44,44,no,"[244,248)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
56,45,45,no,"[248,253)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
57,12,12,no,"[253,255)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
58,28,28,no,"[255,259)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
59,46,46,no,"[259,267)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
60,47,47,no,"[267,271)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
61,48,48,no,"[271,274)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
62,4,4,no,"[274,276)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
63,49,49,no,"[276,281)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
64,50,50,no,"[281,290)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
65,51,51,no,"[290,299)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
66,52,52,no,"[299,304)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
67,53,53,no,"[304,306)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
68,54,54,no,"[306,308)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
69,55,55,no,"[308,313)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
70,26,26,no,"[313,316)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
71,56,56,no,"[316,325)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
72,57,57,no,"[325,331)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
73,58,58,no,"[331,336)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
74,59,59,no,"[336,340)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
75,7,7,no,"[340,342)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
76,60,60,no,"[342,350)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
77,61,61,no,"[350,355)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
78,28,28,no,"[355,359)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
79,29,29,no,"[359,364)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
80,62,62,no,"[364,367)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
81,63,63,no,"[367,369)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
82,62,62,no,"[369,372)",61e09b1e-a7e7-4694-b8a7-5f636763f6d1
83,64,64,no,"[372,376)",c5f2e977-2b77-49c2-9c8f-30bb7e48c444
84,19,19,no,"[376,392)",c5f2e977-2b77-49c2-9c8f-30bb7e48c444
85,20,20,no,"[392,394)",c5f2e977-2b77-49c2-9c8f-30bb7e48c444
