segment_id,char_range
57ac6c1f-7634-40d6-9e0a-6b4f652d4fb5,"[1,64)"
bebdc077-3bf4-4895-92bf-139a6a98e621,"[64,100)"
db51b6a6-bd14-4380-8c76-ed7b28b81c68,"[100,175)"
4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7,"[175,372)"
347ac9b0-377b-4e46-ba55-f3d1a6829e63,"[372,473)"
843640ee-dbd3-4081-bdb9-4f32a2181a84,"[473,563)"
aa7a5b7c-8d49-4690-b839-38c611b407c0,"[563,662)"
e439136c-772f-453f-95bb-b5933a22c43b,"[662,687)"
e4878336-d4cd-4618-b0c1-0ff3da2070cc,"[687,712)"
2bc47ac9-e53f-4b26-afb3-4debbbc34b00,"[712,736)"
b4c4f404-43ad-4e01-a815-6f940cfc3b94,"[736,790)"
c235c1ee-aca8-4685-a62f-d2e75ff72c2d,"[790,860)"
26d48fd5-63a4-4031-b2de-40dc821eb966,"[860,977)"
19e3bd99-4b38-4c16-91cd-1a8a2397f0f7,"[977,1162)"
7248e71f-47ff-4cdf-a3f8-b7d8d6cae170,"[1162,1273)"
9927c8e9-ccb5-4fb7-a6df-6bbcbac09553,"[1273,1390)"
17a26083-5f40-4d0b-ba65-3ff1d5fe836b,"[1390,1430)"
76312c7a-56b8-4133-9559-7637b6226c26,"[1430,1530)"
5daee64d-be2d-4b50-a747-9015c7a2b13e,"[1530,1542)"
e9a02633-ffbd-432e-adc5-2f586cc8995b,"[1542,1659)"
f3864c6a-de97-41c9-ad7d-7ef0b9034f0d,"[1659,1726)"
e6919beb-61e8-4867-92f1-9e53616a181d,"[1726,1759)"
ebc07d05-cc29-4fa1-bcf5-2b8903c19647,"[1759,1830)"
952794d0-8892-41f8-b161-40ad8a73bda7,"[1830,1891)"
6f7a5a2c-a5a1-4a19-aa97-84483276c319,"[1891,1928)"
80dc9ee8-a329-4866-b299-61a7021bb4e2,"[1928,1985)"
fb13b365-aebf-4f21-b174-229a3fa2eaf9,"[1985,1991)"
308e6603-5891-45d1-82b1-f6042edb64d1,"[1991,2080)"
405e02d4-25ed-46b3-b186-7ef5d4ad6bce,"[2080,2126)"
c4cb5dec-2f95-45a5-a238-8c039da9c5b9,"[2126,2181)"
b62bb7cc-5606-491a-821b-4de6cb8b10a8,"[2181,2262)"
ce9f7605-d6fc-4b93-b364-2fe67499e5ac,"[2262,2321)"
b4a6b9c4-a75e-4afb-9bbf-18922c38c20d,"[2321,2375)"
f6a9f6fe-85b6-4170-a3df-66572aaf2c0f,"[2375,2419)"
f36c17ea-3bbf-4b2c-bbd7-86f24dcde0cb,"[2419,2473)"
174a1244-68df-4124-b610-d9060f5e7e3f,"[2473,2499)"
bd6c69f3-99c3-42bd-a212-81a92ce818ab,"[2499,2562)"
6002908b-6adf-4171-8e5b-5d09a9949c3e,"[2562,2677)"
1113718c-5e62-4d6b-aa22-2033e51162a8,"[2677,2724)"
e7c22b2e-371d-48e9-b373-83ac1cb57006,"[2724,2765)"
0f096b78-ee14-4c7a-83c6-6aecd3198678,"[2765,2849)"
0fabcad5-dd2e-4e90-96c0-e40f899a2d39,"[2849,2910)"
788f79cc-9d63-4aaf-a9fc-782e3786e303,"[2910,2969)"
ccffe7cc-316b-456d-8735-0f8429678469,"[2969,2989)"
b7a707a2-fd4a-416e-a225-280e5342a170,"[2989,3026)"
aad1426c-b2b8-40e2-ac20-56da4d25e04a,"[3026,3103)"
3689d835-0317-4d13-aa46-d55af5a0bf99,"[3103,3150)"
eeb3fc0e-d78c-455c-a9a5-21e8594bd472,"[3150,3228)"
c7bdf0e4-cdea-4d77-92ac-d56af01f96b8,"[3228,3339)"
0afe5824-e0a5-4b69-ac04-5b33516d39e7,"[3339,3460)"
fa0b6e87-9b23-487c-ae80-572972ec056c,"[3460,3521)"
0bd7ab1a-afdd-42ac-bff8-9d0b4413695e,"[3521,3597)"
fd0f0d75-934b-41de-8e8a-c0a9def5915c,"[3597,3673)"
de53ebb6-98d5-43d9-81ab-ce963e98d6bb,"[3673,3756)"
836f1ee4-b23c-4187-8412-f4a23faffdb9,"[3756,3831)"
c7a96e88-9209-4b82-be01-f3e3d2287362,"[3831,3850)"
54bd1458-593a-4cfe-8fec-7006ab753a63,"[3850,3890)"
11c45a55-3241-450a-96c0-0fdb5b0408ad,"[3890,4189)"
bb19e1f9-8785-48d6-aef6-26e2524be594,"[4189,4225)"
a21ba152-edcf-48da-8e33-d386416378d3,"[4225,4264)"
bf3c9da5-d057-48c5-90ac-907af82b99ee,"[4264,4395)"
8987d044-0e1d-4495-9ad5-11e8b2729fe9,"[4395,4456)"
7b1bff5c-0055-467c-b9cb-48bd9d7c66b3,"[4456,4536)"
a241e48f-00bf-468a-87de-60cb4605baf2,"[4536,4609)"
c1d58971-0002-4bdd-bf39-57fbf812fea1,"[4609,4728)"
c9d26218-112c-475d-98ef-faaf7b31f346,"[4728,4815)"
7edaa879-49ad-42d6-864c-3d495690569e,"[4815,5021)"
080d1ae6-cf8c-41c1-bd56-f6479de9ba25,"[5021,5152)"
bbc93b1a-3c95-40f6-befd-37e951ce7bcd,"[5152,5180)"
160c96b2-f549-41c1-aa69-3a4d84a0b0ec,"[5180,5240)"
3d6c528b-277a-4699-86e5-c7f234f619e2,"[5240,5302)"
c7efa8a2-51c4-4fcb-bb55-1df0292731aa,"[5302,5376)"
746ac269-7fd9-43c9-801d-00918f44b19f,"[5376,5396)"
f3e78c96-6c59-430e-a899-3c9c65c94c67,"[5396,5497)"
1b26e3f9-178e-4149-b239-663f322cc1e1,"[5497,5552)"
7ef16d4a-3b13-4650-a398-0ae5e3314452,"[5552,5655)"
176cde73-fdc0-4c57-ba7a-393a5a83ddfe,"[5655,5711)"
354bd918-b574-4b4c-8d98-08d4b5794b83,"[5711,5773)"
68e7d0ef-3309-42af-a3f6-3c7f22d43966,"[5773,5889)"
6d8fc70c-e8d8-4862-9530-dfa12110ca4a,"[5889,5930)"
32f2e768-1405-49fc-9b78-c9682978dc13,"[5930,5989)"
e668c244-8def-4e6d-8058-1e6fdabe173f,"[5989,6105)"
139231c6-fe5e-41d7-af13-e4584de21e84,"[6105,6159)"
ab80d178-cf0b-4fa7-913f-0855a9999b80,"[6159,6213)"
7a4062e7-5632-442b-9bf4-6809b288ecf4,"[6213,6255)"
844361fc-cd17-488f-a06e-258bd4474dd0,"[6255,6318)"
a3d09123-191e-4c40-95d8-85e9ee45e50c,"[6318,6405)"
36f13f47-9b24-4c4c-8798-983ecd38bee1,"[6405,6482)"
ad28d637-3265-4d71-9288-6a1760f49cad,"[6482,6546)"
f9dc2692-bd49-4d88-aaac-b35df88ca65f,"[6546,6635)"
90540b9f-5879-4196-92fb-64f22ea5ff85,"[6635,6716)"
dbafde35-3ddc-4e72-8ae4-d4da1bbcfa8d,"[6716,6755)"
69f01ec7-d0dc-4b1a-b94f-be958df6deeb,"[6755,6817)"
8eb632d5-0d64-4f31-baa2-85d61ae420ae,"[6817,6862)"
6f3015a2-cf11-4c7c-9352-45940f644ce0,"[6862,6970)"
e9e9f6fd-d63c-4bfa-8a68-21221507e81e,"[6970,7068)"
b95906f8-3ae1-4c1d-8477-8d61a4c7645b,"[7068,7190)"
d3666c2c-f0c2-4539-b98d-cafe75f0b9ed,"[7190,7229)"
f9ed74b3-b09c-4356-beab-a2bc396cbad0,"[7229,7254)"
ed2888ec-79ce-496e-a792-7672bbff6ecf,"[7254,7326)"
4973b5cf-f53f-4fea-8e61-07d5d12e86c1,"[7326,7413)"
d98f0102-bc7a-4250-819e-1f9329a4f09e,"[7413,7447)"
fd4bb2da-a3d0-4254-a2e1-e5ae5a199a78,"[7447,7547)"
c6796167-df3d-47af-b688-731493166096,"[7547,7615)"
62dd06c4-ec52-4419-9983-8060bc210c69,"[7615,7670)"
fafb7da9-92ca-4990-bfbc-ddd4fb90a427,"[7670,7723)"
272b1750-0b8f-4260-bdce-2cb9c2703099,"[7723,7771)"
892a45b6-1f92-46fd-8c00-faf04116d87c,"[7771,7830)"
17bd3bbc-5463-4b55-ab6f-dd4accf7898b,"[7830,7890)"
e2614935-d64f-4660-9d0b-ffe804c451e9,"[7890,7999)"
1653e271-fc7a-4ccd-96da-7027e6150013,"[7999,8078)"
fdbd24a1-c5f9-47d1-8fbb-0cc5da3f4c3c,"[8078,8133)"
18942d65-ec29-43e2-951a-9580cd72b0e9,"[8133,8155)"
b616c776-057f-4db4-aa10-acabc148d08a,"[8155,8200)"
7f47aa7a-ed14-4419-993c-1d7347dd4746,"[8200,8283)"
037d69a6-6c4f-43d7-a710-efb6ec7b05cd,"[8283,8327)"
1b0e6c91-a275-4d2c-a7d2-12d7c988afd6,"[8327,8365)"
2d1de4b9-1b7b-4855-96ea-d28f694de310,"[8365,8447)"
cff23fa2-0de8-4a83-ab6e-fa34fbbdf3c4,"[8447,8505)"
26bd80e9-f002-4bad-b55c-ae0faa1f6186,"[8505,8562)"
e4881403-bd03-4697-952f-72d760a4fd14,"[8562,8642)"
a14b6aac-05f0-4682-8253-a0598c800d6e,"[8642,8711)"
4f4d2988-dbb6-4eb2-938a-03150a4f1e8c,"[8711,8756)"
3e1faf5e-e992-40a6-9258-f4f2d23ffcde,"[8756,8851)"
02d76e88-9f11-416f-a3e6-39cd2f2eed41,"[8851,8890)"
88d1f743-d9fd-4fc6-8b90-9b9365f06ed5,"[8890,8962)"
67ec45d8-364d-4c19-901d-61154cde7252,"[8962,9135)"
347bc07a-265c-4865-ace2-b896c27665b3,"[9135,9199)"
ce3412bb-8c1e-4eb2-840c-162a8ad161a8,"[9199,9238)"
8d5b2a59-0b5c-4a34-afd0-a91d8fe2e7c7,"[9238,9320)"
f20730c1-6e2e-44f7-9fa5-a94b10a57943,"[9320,9373)"
319efabe-2e2b-4c55-b645-941620ceb3d2,"[9373,9440)"
2887fd0c-3bf6-4cb7-afa6-44c8dccc0f18,"[9440,9523)"
e8cada38-4ba9-41a4-9cf7-9aebec3b9c47,"[9523,9554)"
0254efce-5d35-4afd-af7a-03c6fe7eb657,"[9554,9624)"
99362e66-5eac-4d50-8390-9830fd57c60a,"[9624,9664)"
2bee7927-5dd9-45a5-a25f-49a926d1c588,"[9664,9727)"
49e50483-e67d-40ef-949b-d3f15260274b,"[9727,9799)"
c7ec543f-b0e2-4989-a325-1da940b25640,"[9799,9869)"
5585afd8-4b00-4fec-b5cb-62b44e691010,"[9869,9951)"
11e31d75-3072-494f-9e43-245150a28a8c,"[9951,9992)"
5bc739a1-3df5-41ec-ae53-50cac2fe065a,"[9992,10039)"
46800e26-2695-4f4c-99ed-a2070eea1d0c,"[10039,10076)"
3ee35969-4c54-44c0-8f51-261f51a618e6,"[10076,10159)"
47a27ef6-7734-44e2-a914-f11c00c6c206,"[10159,10218)"
c75eaeae-d956-4855-9105-148c14b6d25b,"[10218,10243)"
e2aa65d3-d7f4-4f6f-8bb3-b84d66bc4d66,"[10243,10325)"
70864e9a-b767-4680-a36e-cbea68ce2429,"[10325,10424)"
24ccc1e3-2943-4de2-a091-83756a71096c,"[10424,10561)"
f6bdf381-4129-4e2d-8ee7-fe5a84709e74,"[10561,10640)"
4ea774b0-100b-4a85-b91a-696dcf72ba7b,"[10640,10728)"
1fb303bc-7c03-4d5c-8a7b-dee6e26f2a12,"[10728,10798)"
016a824c-6295-4914-81fc-622335876b6d,"[10798,10884)"
07acf47c-7a32-41b9-a5b3-ee0cc98120ad,"[10884,10973)"
3b8a83bd-5e4d-4437-b3e8-e36b55a8e299,"[10973,11170)"
63d3215c-63fc-48ff-be38-2922fd80ccae,"[11170,11208)"
7b9d88cc-51fb-4092-9264-7034153c6c9d,"[11208,11223)"
9d7130e7-3dc5-41fd-acdf-baaf7951c983,"[11223,11291)"
