token_id,form_id,lemma_id,char_range,segment_id
1,1,1,"[1,3)",57ac6c1f-7634-40d6-9e0a-6b4f652d4fb5
2,2,2,"[3,10)",57ac6c1f-7634-40d6-9e0a-6b4f652d4fb5
3,3,3,"[10,11)",57ac6c1f-7634-40d6-9e0a-6b4f652d4fb5
4,4,4,"[11,13)",57ac6c1f-7634-40d6-9e0a-6b4f652d4fb5
5,5,5,"[13,17)",57ac6c1f-7634-40d6-9e0a-6b4f652d4fb5
6,6,6,"[17,28)",57ac6c1f-7634-40d6-9e0a-6b4f652d4fb5
7,7,7,"[28,30)",57ac6c1f-7634-40d6-9e0a-6b4f652d4fb5
8,8,8,"[30,35)",57ac6c1f-7634-40d6-9e0a-6b4f652d4fb5
9,9,9,"[35,38)",57ac6c1f-7634-40d6-9e0a-6b4f652d4fb5
10,10,10,"[38,44)",57ac6c1f-7634-40d6-9e0a-6b4f652d4fb5
11,11,11,"[44,49)",57ac6c1f-7634-40d6-9e0a-6b4f652d4fb5
12,12,12,"[49,51)",57ac6c1f-7634-40d6-9e0a-6b4f652d4fb5
13,13,13,"[51,52)",57ac6c1f-7634-40d6-9e0a-6b4f652d4fb5
14,14,14,"[52,58)",57ac6c1f-7634-40d6-9e0a-6b4f652d4fb5
15,15,15,"[58,64)",57ac6c1f-7634-40d6-9e0a-6b4f652d4fb5
16,16,16,"[64,67)",bebdc077-3bf4-4895-92bf-139a6a98e621
17,17,17,"[67,74)",bebdc077-3bf4-4895-92bf-139a6a98e621
18,18,18,"[74,78)",bebdc077-3bf4-4895-92bf-139a6a98e621
19,19,19,"[78,94)",bebdc077-3bf4-4895-92bf-139a6a98e621
20,20,20,"[94,96)",bebdc077-3bf4-4895-92bf-139a6a98e621
21,21,21,"[96,99)",bebdc077-3bf4-4895-92bf-139a6a98e621
22,3,3,"[99,100)",bebdc077-3bf4-4895-92bf-139a6a98e621
23,22,22,"[100,105)",db51b6a6-bd14-4380-8c76-ed7b28b81c68
24,23,23,"[105,108)",db51b6a6-bd14-4380-8c76-ed7b28b81c68
25,7,7,"[108,110)",db51b6a6-bd14-4380-8c76-ed7b28b81c68
26,24,24,"[110,117)",db51b6a6-bd14-4380-8c76-ed7b28b81c68
27,25,25,"[117,121)",db51b6a6-bd14-4380-8c76-ed7b28b81c68
28,26,26,"[121,124)",db51b6a6-bd14-4380-8c76-ed7b28b81c68
29,27,27,"[124,128)",db51b6a6-bd14-4380-8c76-ed7b28b81c68
30,28,28,"[128,132)",db51b6a6-bd14-4380-8c76-ed7b28b81c68
31,29,29,"[132,137)",db51b6a6-bd14-4380-8c76-ed7b28b81c68
32,30,30,"[137,140)",db51b6a6-bd14-4380-8c76-ed7b28b81c68
33,18,18,"[140,144)",db51b6a6-bd14-4380-8c76-ed7b28b81c68
34,31,31,"[144,148)",db51b6a6-bd14-4380-8c76-ed7b28b81c68
35,32,32,"[148,152)",db51b6a6-bd14-4380-8c76-ed7b28b81c68
36,10,10,"[152,158)",db51b6a6-bd14-4380-8c76-ed7b28b81c68
37,33,33,"[158,164)",db51b6a6-bd14-4380-8c76-ed7b28b81c68
38,34,34,"[164,166)",db51b6a6-bd14-4380-8c76-ed7b28b81c68
39,28,28,"[166,170)",db51b6a6-bd14-4380-8c76-ed7b28b81c68
40,35,35,"[170,175)",db51b6a6-bd14-4380-8c76-ed7b28b81c68
41,36,36,"[175,180)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
42,14,14,"[180,186)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
43,37,37,"[186,197)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
44,38,38,"[197,201)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
45,7,7,"[201,203)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
46,39,39,"[203,209)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
47,13,13,"[209,210)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
48,40,40,"[210,215)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
49,41,41,"[215,221)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
50,34,34,"[221,223)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
51,42,42,"[223,228)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
52,29,29,"[228,233)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
53,26,26,"[233,236)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
54,43,43,"[236,244)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
55,44,44,"[244,248)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
56,45,45,"[248,253)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
57,12,12,"[253,255)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
58,28,28,"[255,259)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
59,46,46,"[259,267)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
60,47,47,"[267,271)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
61,48,48,"[271,274)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
62,4,4,"[274,276)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
63,49,49,"[276,281)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
64,50,50,"[281,290)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
65,51,51,"[290,299)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
66,52,52,"[299,304)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
67,53,53,"[304,306)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
68,54,54,"[306,308)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
69,55,55,"[308,313)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
70,26,26,"[313,316)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
71,56,56,"[316,325)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
72,57,57,"[325,331)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
73,58,58,"[331,336)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
74,59,59,"[336,340)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
75,7,7,"[340,342)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
76,60,60,"[342,350)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
77,61,61,"[350,355)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
78,28,28,"[355,359)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
79,29,29,"[359,364)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
80,62,62,"[364,367)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
81,63,63,"[367,369)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
82,62,62,"[369,372)",4b2c2234-93e1-4b60-a9dc-8ab13af7b4b7
83,64,64,"[372,376)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
84,19,19,"[376,392)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
85,20,20,"[392,394)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
86,53,53,"[394,396)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
87,65,65,"[396,400)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
88,7,7,"[400,402)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
89,66,66,"[402,406)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
90,67,67,"[406,413)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
91,13,13,"[413,414)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
92,68,68,"[414,420)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
93,34,34,"[420,422)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
94,42,42,"[422,427)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
95,29,29,"[427,432)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
96,69,69,"[432,435)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
97,28,28,"[435,439)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
98,70,70,"[439,446)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
99,71,71,"[446,450)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
100,26,26,"[450,453)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
101,27,27,"[453,457)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
102,20,20,"[457,459)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
103,7,7,"[459,461)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
104,13,13,"[461,462)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
105,72,72,"[462,465)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
106,73,73,"[465,473)",347ac9b0-377b-4e46-ba55-f3d1a6829e63
107,19,19,"[473,489)",843640ee-dbd3-4081-bdb9-4f32a2181a84
108,53,53,"[489,491)",843640ee-dbd3-4081-bdb9-4f32a2181a84
109,13,13,"[491,492)",843640ee-dbd3-4081-bdb9-4f32a2181a84
110,74,74,"[492,497)",843640ee-dbd3-4081-bdb9-4f32a2181a84
111,75,75,"[497,503)",843640ee-dbd3-4081-bdb9-4f32a2181a84
112,76,76,"[503,510)",843640ee-dbd3-4081-bdb9-4f32a2181a84
113,77,77,"[510,513)",843640ee-dbd3-4081-bdb9-4f32a2181a84
114,78,78,"[513,517)",843640ee-dbd3-4081-bdb9-4f32a2181a84
115,79,79,"[517,521)",843640ee-dbd3-4081-bdb9-4f32a2181a84
116,74,74,"[521,526)",843640ee-dbd3-4081-bdb9-4f32a2181a84
117,80,80,"[526,533)",843640ee-dbd3-4081-bdb9-4f32a2181a84
118,81,81,"[533,542)",843640ee-dbd3-4081-bdb9-4f32a2181a84
119,82,82,"[542,544)",843640ee-dbd3-4081-bdb9-4f32a2181a84
120,28,28,"[544,548)",843640ee-dbd3-4081-bdb9-4f32a2181a84
121,83,83,"[548,556)",843640ee-dbd3-4081-bdb9-4f32a2181a84
122,7,7,"[556,558)",843640ee-dbd3-4081-bdb9-4f32a2181a84
123,84,84,"[558,561)",843640ee-dbd3-4081-bdb9-4f32a2181a84
124,20,20,"[561,563)",843640ee-dbd3-4081-bdb9-4f32a2181a84
125,85,85,"[563,565)",aa7a5b7c-8d49-4690-b839-38c611b407c0
126,86,86,"[565,569)",aa7a5b7c-8d49-4690-b839-38c611b407c0
127,53,53,"[569,571)",aa7a5b7c-8d49-4690-b839-38c611b407c0
128,87,87,"[571,574)",aa7a5b7c-8d49-4690-b839-38c611b407c0
129,88,88,"[574,577)",aa7a5b7c-8d49-4690-b839-38c611b407c0
130,89,89,"[577,581)",aa7a5b7c-8d49-4690-b839-38c611b407c0
131,90,90,"[581,583)",aa7a5b7c-8d49-4690-b839-38c611b407c0
132,91,91,"[583,589)",aa7a5b7c-8d49-4690-b839-38c611b407c0
133,61,61,"[589,594)",aa7a5b7c-8d49-4690-b839-38c611b407c0
134,9,9,"[594,597)",aa7a5b7c-8d49-4690-b839-38c611b407c0
135,88,88,"[597,600)",aa7a5b7c-8d49-4690-b839-38c611b407c0
136,92,92,"[600,608)",aa7a5b7c-8d49-4690-b839-38c611b407c0
137,93,93,"[608,615)",aa7a5b7c-8d49-4690-b839-38c611b407c0
