segment_id,char_range,frame_range,original_id
db58513f-e18c-41ef-b49f-6ce47a34f10d,"[1,64)","[260,359)",1
d6978451-64ec-4094-ade8-4a4a71447b36,"[64,100)","[369,455)",2
0c26a134-680e-426f-b0fa-b056bb026ef5,"[100,175)","[465,638)",3
cf7d08d6-9a11-4dc4-ada8-aa23062525f9,"[175,372)","[727,1119)",4
ff62d4b6-4007-4794-81df-14eb9e100f15,"[372,473)","[1136,1361)",5
899c42c7-de6b-4a7a-921b-3652e6ec4e8d,"[473,563)","[1361,1563)",6
3a2afd42-bf4b-4e93-a9fc-2f25d6aa4639,"[563,662)","[1563,1739)",7
ce1ac86a-1a07-4ef7-92f8-12d35b81cd3e,"[662,687)","[1739,1796)",8
56de7f74-cebd-4b42-aee8-2b9251ea2092,"[687,712)","[1796,1845)",9
61d0de0b-4d6d-4fb3-bc69-de3430ed6cda,"[712,736)","[1845,1893)",10
e54d4225-4c18-41ba-b7f4-ef8148578bcb,"[736,790)","[1893,2001)",11
d55ec9db-125c-4641-8f99-af4924e19375,"[790,860)","[2004,2120)",12
59b6b5c5-0ad5-4230-9a8c-70bbe2ca72ba,"[860,977)","[2139,2349)",13
f2b23f1c-bc04-4c56-81a0-3bd10dd9d4cb,"[977,1162)","[2358,2658)",14
82855a7f-9731-4d80-9f44-fc861a3af569,"[1162,1273)","[2659,2893)",15
4c4ef214-c790-4715-b953-7a28554e6e43,"[1273,1390)","[2909,3104)",16
507baa1c-1b25-4eed-a89f-fda60061d2c8,"[1390,1430)","[3104,3188)",17
66b74b38-1713-46b9-b969-6e5d5719185b,"[1430,1530)","[3188,3313)",18
2728fc33-bcd6-40b1-a2c0-f85ff574fd01,"[1530,1542)","[3313,3333)",19
45766cd1-1628-44bf-8962-bf1c0061119f,"[1542,1659)","[3333,3550)",20
0674eae7-b945-4b50-8a33-fa5602569596,"[1659,1726)","[3551,3672)",21
0b50383f-3c50-4944-8d8e-9c79dcb68c39,"[1726,1759)","[3681,3746)",22
021b817a-f5f4-46b4-9c6c-09a268d6a35a,"[1759,1830)","[3746,3860)",23
84e2a2d9-0d2e-4a9b-a03c-be95c62a358f,"[1830,1891)","[3860,3953)",24
20cf19cc-4a1a-48cc-87a4-137d065a466a,"[1891,1928)","[3953,4026)",25
6c70bb34-4797-45ce-8e23-3bfb7c630408,"[1928,1985)","[4026,4139)",26
020d5acd-3e33-466b-833e-f3bac1a29f09,"[1985,1991)","[4140,4161)",27
ef76a518-cf39-4c57-8681-6cceb05cf40d,"[1991,2080)","[4161,4305)",28
911934cf-04df-42ce-a277-149f0f228fe5,"[2080,2126)","[4305,4387)",29
d06f99c2-0ad5-4a6b-80b6-f10b959f5484,"[2126,2181)","[4388,4467)",30
6e9043be-a44d-427d-b980-b54e1fe1396a,"[2181,2262)","[4467,4604)",31
bd8da975-b432-47b3-94a2-8a7425ea3842,"[2262,2321)","[4613,4716)",32
7dff423f-2c02-489d-85fc-2274e599baa7,"[2321,2375)","[4717,4828)",33
7d012751-1205-41ae-a84f-fb3fa3f36002,"[2375,2419)","[4829,4906)",34
1e6741b4-d0af-42a6-956b-93dde670bee3,"[2419,2473)","[4907,5000)",35
8727e231-2e51-4271-9c87-64c346507ddb,"[2473,2499)","[5000,5045)",36
67102d78-60ff-4bb3-8c95-d689b71f0670,"[2499,2562)","[5045,5151)",37
6a26c2b5-ed56-4de7-94cd-5d4b9e7e169a,"[2562,2677)","[5152,5360)",38
c29f960e-cb2b-4b2e-95b3-f5e093b4572e,"[2677,2724)","[5382,5463)",39
f6c93282-2af7-4ef1-ac2f-0f66f14701b1,"[2724,2765)","[5468,5539)",40
a1ef0b8a-e973-4427-89bb-714e3807fea0,"[2765,2849)","[5468,5666)",41
bee5e3f2-4c44-43af-86e9-48465b7d64c3,"[2849,2910)","[5667,5768)",42
ea11fd5d-bfa0-4465-b5b7-275b50c6a208,"[2910,2969)","[5769,5872)",43
3a9bbbe4-6935-4816-bed6-bab99385f6cc,"[2969,2989)","[5873,5910)",44
83ff691b-117e-40e0-ad81-be651a203075,"[2989,3026)","[5910,5985)",45
6be10b4d-8f3c-4e6f-b00a-2e615bba93f7,"[3026,3103)","[5985,6146)",46
fb64cb1a-a91b-4cd1-9155-816893495e59,"[3103,3150)","[6191,6271)",47
cac3ee6f-d214-4d55-975d-254fa6f2d78e,"[3150,3228)","[6271,6394)",48
ba159096-f08b-4d32-a29f-c8513ef04c55,"[3228,3339)","[6394,6595)",49
ac2d553e-95c2-4f31-a10b-bc87d8a0f481,"[3339,3460)","[6595,6807)",50
8eb34490-4251-4155-9b05-7091f48013c0,"[3460,3521)","[6807,6927)",51
9d9a5f1d-b609-47bd-b679-fddee840d439,"[3521,3597)","[6928,7054)",52
6009d0c6-78ca-4bce-9022-ae68a5375018,"[3597,3673)","[7054,7166)",53
5dbf4b6d-4232-4012-a0ee-1a9ae2abe64a,"[3673,3756)","[7167,7316)",54
44a3518c-6e68-4337-9a75-d94304b6aebc,"[3756,3831)","[7316,7484)",55
aa958fe9-0748-416b-8693-745d70a0cb92,"[3831,3850)","[7521,7555)",56
c2a54d35-24ff-480c-8624-6f3041c77fd1,"[3850,3890)","[7555,7620)",57
1bdf49c3-69f2-4df5-8d2c-ce2542c6cea6,"[3890,4189)","[7620,7880)",58
229da426-a3f2-4709-be09-628053bfc1ad,"[4189,4225)","[7880,7944)",59
07dff0f3-1c00-45c7-9da5-7318b840edf1,"[4225,4264)","[7944,8019)",60
fadb9216-5755-4acc-a55a-74a2c84a4981,"[4264,4395)","[8039,8353)",61
c9b930c7-06e1-4f60-99ec-3d80ee9af10c,"[4395,4456)","[8393,8491)",62
a31ab5b1-6655-4dcd-be63-e3c06a7efbd8,"[4456,4536)","[8491,8759)",63
2c0a02cf-021d-468b-8977-eff2fd4db680,"[4536,4609)","[8775,8927)",64
fb165588-dccc-4cf2-9518-8b89b1991870,"[4609,4728)","[8927,9121)",65
6bc4e481-4976-4088-8259-d27d91e3f6f7,"[4728,4815)","[9141,9603)",66
7f55bb19-15cd-4598-8a35-44662d0bf537,"[4815,5021)","[9141,9879)",67
b4e59364-a487-4f5f-9219-a9e93f622a2e,"[5021,5152)","[9894,10123)",68
e71b589c-7a8c-48ac-8eae-1949f06abe98,"[5152,5180)","[10123,10261)",69
0c7b3927-d73d-48ca-938d-36694b9e7eed,"[5180,5240)","[10123,10405)",70
24f88950-3530-4d5f-86fd-c527db7d742f,"[5240,5302)","[10123,10553)",71
3404e4f4-c681-42f3-902d-786072e4ba3d,"[5302,5376)","[10567,10730)",72
9c8454fd-e27f-4ca9-b1c3-cfd3623df1e7,"[5376,5396)","[10765,10887)",73
a5dea4cc-5bc0-4a45-8b79-fde2e41fd8e5,"[5396,5497)","[10765,11005)",74
1f223e16-256c-4c96-97d4-77335845148d,"[5497,5552)","[11005,11129)",75
5caf75ab-e67f-4a3d-8191-7b9934ec6e6e,"[5552,5655)","[11005,11266)",76
3c52905c-720d-4b8b-93a6-cc04e39c688b,"[5655,5711)","[11266,11409)",77
692f0880-6339-4d72-b680-55378efc05b4,"[5711,5773)","[11266,11561)",78
f42fd78e-9978-4aac-895d-8a6ff931333a,"[5773,5889)","[11266,11695)",79
15b2a125-bab2-402e-92ee-d99207d2e7f6,"[5889,5930)","[11717,11843)",80
c9c3ecd0-957a-47e0-80ec-11bde9d557ab,"[5930,5989)","[11717,11967)",81
954757e8-a0ad-49df-ac63-0b4c2291f304,"[5989,6105)","[11717,12091)",82
9bf4f49d-757c-45dd-b0fb-f89de5a07151,"[6105,6159)","[11717,12239)",83
625d9e40-8ace-47ed-bd81-9b7c9dd154cd,"[6159,6213)","[11717,12405)",84
4f754cc5-044d-4c45-9ba1-252eaf40e261,"[6213,6255)","[12405,12585)",85
2a1fad22-c356-454e-a04f-d78d9df55bec,"[6255,6318)","[12405,12733)",86
8df31ee3-e839-4af5-a94b-0537df2a6118,"[6318,6405)","[12405,12895)",87
a09dd5d9-edec-405e-90a2-73b5243070eb,"[6405,6482)","[12405,13059)",88
c53368ac-ecde-4588-8915-9a4d211dad99,"[6482,6546)","[12405,13205)",89
edb8b25c-925d-476e-ab0f-43934f5da7c5,"[6546,6635)","[12405,13345)",90
88035cee-5eef-416b-986b-9662ddd7cf0b,"[6635,6716)","[12405,13483)",91
0b008639-2332-47f1-a35c-7e1856e1a2e2,"[6716,6755)","[13483,13631)",92
32dec792-24b4-4174-90ee-1e1dcc32c8ef,"[6755,6817)","[13483,13783)",93
c4c4bde6-e49d-4b18-b43c-b25c90762542,"[6817,6862)","[13483,13905)",94
