original_id,original
1,It shouldn't be that complicated to carry out simple edits in a speech corpus
2,And luckily with databaseExplorer it isn't
3,"Learn how to inspect edit, and save your files all with just some simple clicks of your mouse"
4,"Often, speech researchers need to handle a large number of audio files, and although most steps in your research plan can be fully automated, sometimes there is no sleek and efficient option other than to manually check your files one by one"
5,"With databaseExplorer, it is easy to look through a folder of audio files, cut your desired part, and save it to a new location"
6,"databaseExplorer is a PRAAT plugin, meaning you must have PRAAT already installed on your computer to use it"
7,"If this is not the case, as always, check out the official website of PRAAT where you will find all the information you need"
8,The link is in the description
9,Installing the tool is simple
10,Just go to our GitHub website
11,Locate the databaseExplorer folder and click on Download as zip
12,"Once downloaded and extracted, you'll notice that there are two scripts in the folder"
13,"If you'd like to add a button to your objects window to open database Explorer more comfortably, you can open the installation script and run it"
14,"This will create a copy of the database Explorer script in your PRAAT preferences directory, and add a button to your Dynamic Objects window, meaning you will only see the button once you selected a sound in the objects window"
15,"If you don't wish to install the button, you can simply open databaseExplorer by running the script called databaseExplorer manually"
16,"To start databaseExplorer, you need to first load one of the audio files in the folder you'd like to look through into your PRAAT Objects window"
17,Then select the file and open databaseExplorer
18,This will open a window This will open a window showing you the waveform and spectrogram of the currently selected sound
19,In your folder
20,"On the left side of the screen, you can see a list of the other audio files in the folder, and how many files come before and after the selected file"
21,"On the right side of your screen, there is a legend showing you how to use the plugin"
22,Let's go through the functions one by one
23,The first three lines tell you how to select a portion of the sound and cut away the rest
24,Simply click into the waveform at the point you want your new file to begin
25,Click once more where you want the file to end
26,"If you missed, just click a third time and both selections are removed"
27,Next up
28,"When you press the spacebar, the plugin will save the audio with the changes you made to your write directory"
29,You can choose the write directory by pressing the W key
30,This will open a finder window in which you can choose the location
31,Your files should be saved to press the D key to delete a file already saved in your write directory
32,The next five lines tell you how to move through the files in your folder
33,You can use the left and right arrow keys to move one file up or down
34,Pressing the spacebar will also move you one forward
35,"However, it will also always save the file to your right directory"
36,If you want to make bigger jumps
37,You can use the up and down arrow to jump three files up and down in your folder
38,"If that's too fancy for you, or if your folder contains many files, you can press the G key and manually type in the file number you want to jump to"
39,Press the P key to listen to the currently selected sound
40,“Die Frau des Apothekers weiss immer was Sie will
41,” with the plus and minus keys You can increase and decrease the filter bandwidth of your spectrogram
42,This can be useful when you're looking for specific Formants in your sound
43,"If you have a textgrid file, then it can be displayed by pressing the T key"
44,This is a toggle meaning
45,"By pressing T again, the textgrid disappears"
46,Note that the textgrid and audio file must have identical file names for this feature to work
47,"By pressing the S key, you can display the settings window"
48,"It lets you choose whether instead of saving your modified files, it should save the originals"
49,"If you select this option, the modifications you made will show up in an interval tier saved in a textgrid file together with your sound"
50,"If you do this while you have the textgrid selected, databseExplorer will simply combine your textgrid with the new modifications, losing no data"
51,You can also either turn on or off the function to move on with the spacebar
52,"This way, when you save a file, you will have to manually move on with the arrow keys afterwards"
53,"Additionally, it is possible to change the frequency ceiling of the displayed spectrogram"
54,This is especially helpful when audio has information in frequency bands above the default 8000Hz
55,"Finally, when you're done, pat yourself on the back and press the Q key to exit the application"
56,That's it for this video
57,I hope you learned something and that you had fun
58,"If you think we missed something or want to write us, go to our website If you think we missed something or want to write us, go to our website If you think we missed something or want to write us, go to our website If you think we missed something or want to write us, go to our website where you will find all the information on who we are, what we do, and how to get in touch with us"
59,This was Clemens from the LiRI Resource Hub
60,Keep on exploring and I hope you have a great day
