token_id,form_id,lemma_id,shortened,char_range,segment_id
1,1,1,no,"[1,3)",db58513f-e18c-41ef-b49f-6ce47a34f10d
2,2,2,no,"[3,10)",db58513f-e18c-41ef-b49f-6ce47a34f10d
3,3,3,yes,"[10,11)",db58513f-e18c-41ef-b49f-6ce47a34f10d
4,4,4,no,"[11,13)",db58513f-e18c-41ef-b49f-6ce47a34f10d
5,5,5,no,"[13,17)",db58513f-e18c-41ef-b49f-6ce47a34f10d
6,6,6,no,"[17,28)",db58513f-e18c-41ef-b49f-6ce47a34f10d
7,7,7,no,"[28,30)",db58513f-e18c-41ef-b49f-6ce47a34f10d
8,8,8,no,"[30,35)",db58513f-e18c-41ef-b49f-6ce47a34f10d
9,9,9,no,"[35,38)",db58513f-e18c-41ef-b49f-6ce47a34f10d
10,10,10,no,"[38,44)",db58513f-e18c-41ef-b49f-6ce47a34f10d
11,11,11,no,"[44,49)",db58513f-e18c-41ef-b49f-6ce47a34f10d
12,12,12,no,"[49,51)",db58513f-e18c-41ef-b49f-6ce47a34f10d
13,13,13,no,"[51,52)",db58513f-e18c-41ef-b49f-6ce47a34f10d
14,14,14,no,"[52,58)",db58513f-e18c-41ef-b49f-6ce47a34f10d
15,15,15,no,"[58,64)",db58513f-e18c-41ef-b49f-6ce47a34f10d
16,16,16,no,"[64,67)",d6978451-64ec-4094-ade8-4a4a71447b36
17,17,17,no,"[67,74)",d6978451-64ec-4094-ade8-4a4a71447b36
18,18,18,no,"[74,78)",d6978451-64ec-4094-ade8-4a4a71447b36
19,19,19,no,"[78,94)",d6978451-64ec-4094-ade8-4a4a71447b36
20,20,20,no,"[94,96)",d6978451-64ec-4094-ade8-4a4a71447b36
21,21,21,no,"[96,99)",d6978451-64ec-4094-ade8-4a4a71447b36
22,3,3,yes,"[99,100)",d6978451-64ec-4094-ade8-4a4a71447b36
23,22,22,no,"[100,105)",0c26a134-680e-426f-b0fa-b056bb026ef5
24,23,23,no,"[105,108)",0c26a134-680e-426f-b0fa-b056bb026ef5
25,7,7,no,"[108,110)",0c26a134-680e-426f-b0fa-b056bb026ef5
26,24,24,no,"[110,117)",0c26a134-680e-426f-b0fa-b056bb026ef5
27,25,25,no,"[117,121)",0c26a134-680e-426f-b0fa-b056bb026ef5
28,26,26,no,"[121,124)",0c26a134-680e-426f-b0fa-b056bb026ef5
